edition,2020 Summer Olympics,,,,,
,,,,,,
Contagem de medal,R�tulos de Coluna,,,,,
R�tulos de Linha,Bronze,Gold,na,Silver,Total Geral,
MON,,,6,,6,
MAR,,1,49,,50,
AFG,,,5,,5,
ALB,,,10,,10,
ALG,,,45,,45,
AND,,,3,,3,
ANG,,,20,,20,
ANT,,,6,,6,
ARG,25,,163,18,206,
ARM,2,,15,2,19,
ARU,,,4,,4,
ASA,,,6,,6,
AUS,66,36,481,28,611,
AUT,5,1,93,1,100,
AZE,4,,48,3,55,
BAH,,2,18,,20,
BAN,,,8,,8,
BAR,,,9,,9,
BDI,,,7,,7,
BEL,6,20,147,1,174,
BEN,,,7,,7,
BER,,1,1,,2,
BHU,,,4,,4,
BIH,,,8,,8,
BIZ,,,4,,4,
BLR,3,1,128,6,138,
BOL,,,5,,5,
BOT,5,,11,,16,
BRA,9,29,350,17,405,
BRN,,,32,1,33,
BRU,,,2,,2,
BUL,2,7,44,1,54,
BUR,1,,7,,8,
CAF,,,2,,2,
CAM,,,3,,3,
CAN,38,36,415,11,500,
CAY,,,8,,8,
CGO,,,3,,3,
CHA,,,3,,3,
CHI,,,62,,62,
CHN,33,58,424,49,564,
CIV,1,,31,,32,
CMR,,,12,,12,
COD,,,7,,7,
COK,,,9,,9,
COL,1,,71,4,76,
COM,,,3,,3,
CPV,,,6,,6,
CRC,,,17,,17,
CRO,2,5,63,4,74,
CUB,5,8,65,3,81,
CYP,,,22,,22,
CZE,4,5,134,4,147,
DEN,5,4,102,23,134,
DJI,,,5,,5,
DMA,,,2,,2,
DOM,25,,36,7,68,
ECU,,2,49,1,52,
EGY,4,1,185,1,191,
EOR,,,35,,35,
ERI,,,14,,14,
ESA,,,7,,7,
ESP,22,4,346,44,416,
EST,1,4,37,,42,
ETH,2,1,33,1,37,
FIJ,13,13,6,,32,
FIN,2,,47,,49,
FRA,31,65,386,42,524,
FSM,,,3,,3,
GAB,,,5,,5,
GAM,,,5,,5,
