;;DATASET;CODE;;;;COUNTRY;GDP (BILLIONS);CODE
;;Afghanistan;AFG;;;;Afghanistan;21.71;AFG
Rótulos de Linha;;Algeria;DZA;;;;Albania;13.40;ALB
Afghanistan;;Argentina;ARG;;;;Algeria;227.80;DZA
Algeria;;Armenia;ARM;;;;American Samoa;0.75;ASM
Argentina;;Australasia;AUT;;;;Andorra;4.80;AND
Armenia;;Australia;AUS;;;;Angola;131.40;AGO
Australasia;;Austria;AUT;;;;Anguilla;0.18;AIA
Australia;;Azerbaijan;AZE;;;;Antigua and Barbuda;1.24;ATG
Austria;;Bahrain;BHR;;;;Argentina;536.20;ARG
Azerbaijan;;Barbados;BRB;;;;Armenia;10.88;ARM
Bahrain;;Belarus;BLR;;;;Aruba;2.52;ABW
Barbados;;Belgium;BEL;;;;Australia;1483.00;AUS
Belarus;;Bermuda;BMU;;;;Austria;436.10;AUT
Belgium;;Bohemia;CZE;;;;Azerbaijan;77.91;AZE
Bermuda;;Botswana;BWA;;;;Bahamas, The;8.65;BHM
Bohemia;;Brazil;BRA;;;;Bahrain;34.05;BHR
Botswana;;Bulgaria;BGR;;;;Bangladesh;186.60;BGD
Brazil;;Burkina Faso;BFA;;;;Barbados;4.28;BRB
Bulgaria;;Burundi;BDI;;;;Belarus;75.25;BLR
Burkina Faso;;Cameroon;CMR;;;;Belgium;527.80;BEL
Burundi;;Canada;CAN;;;;Belize;1.67;BLZ
Cameroon;;Chile;CHL;;;;Benin;9.24;BEN
Canada;;Chinese Taipei;TWN;;;;Bermuda;5.20;BMU
Chile;;Colombia;COL;;;;Bhutan;2.09;BTN
Chinese Taipei;;Costa Rica;CRI;;;;Bolivia;34.08;BOL
Colombia;;Croatia;HRV;;;;Bosnia and Herzegovina;19.55;BIH
Costa Rica;;Cuba;CUB;;;;Botswana;16.30;BWA
Croatia;;Cyprus;CYP;;;;Brazil;2244.00;BRA
Cuba;;Czechia;CZE;;;;British Virgin Islands;1.10;VGB
Cyprus;;Czechoslovakia;CZE;;;;Brunei;17.43;BRN
Czechia;;Democratic People's Republic of Korea;PRK;;;;Bulgaria;55.08;BGR
Czechoslovakia;;Denmark;DNK;;;;Burkina Faso;13.38;BFA
Democratic People's Republic of Korea;;Djibouti;DJI;;;;Burma;65.29;MMR
Denmark;;Dominican Republic;DOM;;;;Burundi;3.04;BDI
Djibouti;;East Germany;DEU;;;;Cabo Verde;1.98;CPV
Dominican Republic;;Ecuador;ECU;;;;Cambodia;16.90;KHM
East Germany;;Egypt;EGY;;;;Cameroon;32.16;CMR
Ecuador;;Eritrea;ERI;;;;Canada;1794.00;CAN
Egypt;;Estonia;EST;;;;Cayman Islands;2.25;CYM
Eritrea;;Ethiopia;ETH;;;;Central African Republic;1.73;CAF
Estonia;;Fiji;FJI;;;;Chad;15.84;TCD
Ethiopia;;Finland;FIN;;;;Chile;264.10;CHL
Fiji;;France;FRA;;;;China;10360.00;CHN
Finland;;Gabon;GAB;;;;Colombia;400.10;COL
France;;Georgia;GEO;;;;Comoros;0.72;COM
Gabon;;Germany;DEU;;;;Congo, Democratic Republic of the;32.67;COD
Georgia;;Ghana;GHA;;;;Congo, Republic of the;14.11;COG
Germany;;Great Britain;GRB;;;;Cook Islands;0.18;COK
Ghana;;Greece;GRC;;;;Costa Rica;50.46;CRI
Great Britain;;Grenada;GRD;;;;Cote d'Ivoire;33.96;CIV
Greece;;Guatemala;GTM;;;;Croatia;57.18;HRV
Grenada;;Guyana;GUY;;;;Cuba;77.15;CUB
Guatemala;;Haiti;HTI;;;;Curacao;5.60;CUW
Guyana;;Hong Kong, China;HKG;;;;Cyprus;21.34;CYP
Haiti;;Hungary;HUN;;;;Czech Republic;205.60;CZE
Hong Kong, China;;Iceland;ISL;;;;Denmark;347.20;DNK
